                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4113,                 1.8612,                 1.2605,                0.84625,                0.29961,                 0.3044,                0.19449,                 1.4794,                 2.1213,                 1.2211,               0.070054,              0.0033274,              0.0033274
                      2,                 1.2684,                 1.3075,                 1.1634,                0.84071,                0.26257,                 0.2789,                0.18945,                 1.5007,                 2.4806,                 1.2231,               0.039394,              0.0060013,              0.0060013
                      3,                 1.2311,                 1.1987,                 1.1367,                0.33057,                0.29921,                0.28988,                0.18463,                 1.6306,                 2.1624,                 1.2451,              0.0080748,              0.0080152,              0.0080152
                      4,                 1.2011,                 1.1145,                 1.1152,                0.37313,                0.27549,                  0.299,                0.20261,                 1.6079,                 2.1864,                 1.2444,                0.00703,                0.00703,                0.00703
                      5,                 1.1387,                 1.0101,                 1.0839,                0.38234,                0.30824,                0.33593,                0.23938,                  1.473,                 1.9951,                 1.1933,                0.00604,                0.00604,                0.00604
                      6,                 1.0957,                0.93245,                 1.0593,                0.36026,                0.24929,                0.26782,                0.19332,                 1.4822,                 2.6727,                 1.1818,                0.00505,                0.00505,                0.00505
                      7,                 1.0534,                0.87702,                 1.0403,                0.36338,                0.25877,                0.28757,                0.21394,                 1.4352,                 2.3939,                 1.1661,                0.00406,                0.00406,                0.00406
                      8,                 1.0155,                0.82351,                 1.0268,                0.37468,                0.26517,                0.29857,                 0.2256,                 1.4022,                  2.337,                 1.1635,                0.00307,                0.00307,                0.00307
                      9,                0.98341,                0.78538,                 1.0099,                0.37707,                0.26109,                0.29025,                0.22194,                 1.3929,                 2.4116,                 1.1526,                0.00208,                0.00208,                0.00208
                     10,                0.95572,                0.75075,                 0.9995,                0.38372,                0.26286,                0.29952,                0.23031,                 1.3815,                 2.3778,                 1.1386,                0.00109,                0.00109,                0.00109
