                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4322,                 2.0057,                 1.2763,                0.34598,                0.66897,                0.33425,                0.20266,                 1.2529,                 1.7406,                 1.1977,               0.070054,              0.0033273,              0.0033273
                      2,                  1.291,                  1.544,                 1.1733,                0.37367,                 0.7578,                0.38012,                0.25429,                 1.1333,                 1.6461,                 1.1104,               0.039394,              0.0060013,              0.0060013
                      3,                  1.267,                 1.4612,                 1.1553,                0.37861,                0.69238,                0.36603,                0.23233,                 1.2543,                 1.5948,                 1.1945,               0.008075,              0.0080152,              0.0080152
                      4,                 1.2294,                 1.3906,                 1.1266,                0.38521,                0.76501,                0.40978,                0.28409,                  1.072,                 1.4593,                 1.0773,                0.00703,                0.00703,                0.00703
                      5,                 1.1689,                 1.3334,                 1.0887,                0.38737,                0.77071,                0.40975,                0.28517,                 1.0488,                 1.4584,                 1.0612,                0.00604,                0.00604,                0.00604
                      6,                 1.1235,                 1.2779,                 1.0608,                0.39781,                0.77935,                0.44114,                0.32553,                0.96568,                 1.3786,                 1.0159,                0.00505,                0.00505,                0.00505
                      7,                 1.0861,                 1.2471,                  1.046,                0.40229,                0.79748,                 0.4582,                0.34279,                0.93986,                 1.3383,                 1.0049,                0.00406,                0.00406,                0.00406
                      8,                 1.0501,                 1.2138,                 1.0275,                0.40888,                0.79985,                0.45096,                0.34446,                0.89676,                 1.3607,                0.98318,                0.00307,                0.00307,                0.00307
                      9,                 1.0165,                 1.1916,                  1.012,                 0.4045,                0.80372,                0.46206,                0.35283,                0.89464,                 1.3103,                 0.9828,                0.00208,                0.00208,                0.00208
                     10,                0.98801,                 1.1624,                 1.0006,                0.41297,                0.79914,                0.46587,                0.36367,                0.85108,                 1.4075,                0.96427,                0.00109,                0.00109,                0.00109
